N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"90,000",600,-0.66%,100,"5,372,804","5,969,783",55.56,"27,091,539",24.58,8.69,
2,SK하이닉스,"132,500","3,500",+2.71%,"5,000","964,603","728,002",50.00,"5,568,161",33.61,4.25,
3,LG화학,"998,000","36,000",+3.74%,"5,000","704,512","70,592",43.22,"431,701",93.24,1.84,
4,삼성전자우,"79,100",900,-1.13%,100,"650,903","822,887",80.77,"4,243,105",21.60,N/A,
5,현대차,"262,000","1,000",+0.38%,"5,000","559,811","213,668",30.96,"4,659,354",62.60,4.32,
6,삼성바이오로직스,"811,000","7,000",-0.86%,"2,500","536,598","66,165",10.40,"118,648",151.00,4.77,
7,셀트리온,"385,500","1,500",+0.39%,"1,000","520,417","134,998",20.52,"1,561,039",104.19,11.19,
8,NAVER,"316,000","12,000",+3.95%,100,"519,072","164,263",56.31,"1,575,088",62.91,10.56,
9,삼성SDI,"751,000","6,000",+0.81%,"5,000","516,422","68,765",44.19,"454,996",256.23,2.94,
10,카카오,"458,000",500,+0.11%,500,"405,146","88,460",33.48,"633,225",-508.32,-5.81,
11,현대모비스,"342,000","10,000",+3.01%,"5,000","325,087","95,055",42.42,"1,107,684",20.86,7.28,
12,기아차,"73,400","3,200",+4.56%,"5,000","297,537","405,363",37.08,"6,624,112",34.11,6.50,
13,삼성물산,"148,000","2,500",+1.72%,100,"276,593","186,887",14.76,"640,867",24.79,4.77,
14,SK이노베이션,"283,500","1,000",-0.35%,"5,000","262,140","92,466",23.82,"1,338,590",-10.78,-0.20,
15,LG생활건강,"1,596,000","36,000",+2.31%,"5,000","249,266","15,618",45.54,"38,191",35.76,20.32,
16,POSCO,"284,000","7,000",+2.53%,"5,000","247,611","87,187",50.81,"360,971",26.01,4.18,
17,LG전자,"140,000","1,500",+1.08%,"5,000","229,107","163,648",34.24,"2,019,265",30.41,0.22,
18,SK,"298,500","17,000",+6.04%,200,"210,025","70,360",21.82,"872,493","1,259.49",4.31,
19,SK텔레콤,"257,000","3,500",+1.38%,500,"207,516","80,746",34.37,"355,884",18.92,3.92,
20,엔씨소프트,"938,000","9,000",-0.95%,500,"205,929","21,954",49.14,"86,853",36.70,14.72,
21,KB금융,"47,400","1,200",+2.60%,"5,000","197,093","415,808",66.23,"2,867,788",5.78,8.92,
22,LG,"103,500","1,500",+1.47%,"5,000","178,597","172,557",34.65,"553,660",14.63,5.87,
23,신한지주,"34,050",950,+2.87%,"5,000","175,877","516,527",57.66,"5,327,111",4.88,9.09,
24,삼성생명,"83,900","1,300",+1.57%,500,"167,800","200,000",12.28,"669,943",16.85,3.26,
25,한국전력,"25,850",350,-1.34%,"5,000","165,948","641,964",17.20,"4,969,056",179.51,-3.42,
26,삼성에스디에스,"206,500",500,+0.24%,500,"159,785","77,378",11.78,"256,673",30.48,11.76,
27,삼성전기,"202,500","9,500",+4.92%,"5,000","151,255","74,694",35.16,"2,671,281",41.49,10.18,
28,아모레퍼시픽,"209,500","6,500",+3.20%,500,"122,471","58,458",32.15,"460,787",336.82,5.36,
29,SK바이오팜,"153,500","1,000",-0.65%,500,"120,211","78,313",5.14,"208,115",-139.55,-313.66,
30,하나금융지주,"40,000",850,+2.17%,"5,000","120,097","300,242",66.90,"3,081,521",4.89,8.77,
31,KT&G,"82,200",300,+0.37%,"5,000","112,854","137,292",40.35,"556,123",11.47,12.39,
32,넷마블,"127,500","2,500",+2.00%,100,"109,453","85,845",22.70,"328,668",51.64,3.54,
33,롯데케미칼,"313,000",0,0.00%,"5,000","107,282","34,275",26.80,"485,197",92.52,5.51,
34,한온시스템,"17,850",250,+1.42%,100,"95,283","533,800",20.27,"1,587,667",67.87,14.98,
35,한화솔루션,"55,700","2,000",+3.72%,"5,000","89,045","159,864",19.48,"3,461,270",-99.11,-4.02,
36,삼성화재,"187,500","3,000",+1.63%,500,"88,828","47,375",44.56,"144,590",13.71,4.85,
37,S-Oil,"78,800","3,700",+4.93%,"2,500","88,715","112,583",76.02,"1,267,017",-10.57,1.01,
38,한국조선해양,"116,500",500,+0.43%,"5,000","82,451","70,773",16.31,"287,484",385.76,1.40,
39,고려아연,"423,000","4,500",+1.08%,"5,000","79,820","18,870",23.66,"53,548",14.25,9.76,
40,포스코케미칼,"126,500","1,000",-0.78%,500,"77,150","60,988",7.29,"289,732",284.27,11.57,
41,LG디스플레이,"20,400",400,+2.00%,"5,000","72,994","357,816",23.70,"5,790,071",-2.97,-22.35,
42,우리금융지주,"10,050",330,+3.40%,"5,000","72,588","722,268",25.00,"4,290,139",5.39,N/A,
43,현대글로비스,"190,500","3,500",+1.87%,500,"71,438","37,500",35.14,"260,758",10.71,11.25,
44,기업은행,"8,860",180,+2.07%,"5,000","65,446","738,664",10.49,"3,694,168",4.53,7.36,
45,미래에셋대우,"10,100",0,0.00%,"5,000","65,177","645,316",14.66,"2,579,227",10.55,7.56,
46,CJ제일제당,"432,000","15,000",+3.60%,"5,000","65,034","15,054",24.63,"135,470",8.97,3.16,
47,KT,"24,150",200,+0.84%,"5,000","63,058","261,112",43.85,"1,438,004",10.29,4.61,
48,신풍제약,"118,000",500,-0.42%,500,"62,522","52,985",12.28,"1,024,000","3,277.78",0.80,
49,빅히트,"170,500","17,000",+11.07%,500,"60,739","35,624",3.63,"1,953,445",N/A,56.47,
50,현대제철,"44,800",400,+0.90%,"5,000","59,784","133,446",19.57,"1,115,599",-24.27,0.10,
51,KODEX 200,"43,755",440,+1.02%,0,"60,032","137,200",14.97,"8,689,035",N/A,N/A,
52,코웨이,"73,500","1,400",+1.94%,500,"54,243","73,800",60.68,"237,339",15.19,30.74,
53,LG유플러스,"12,400",150,-1.20%,"5,000","54,140","436,611",30.63,"3,596,393",6.83,6.30,
54,한미사이언스,"81,900","3,600",+4.60%,500,"54,063","66,011",1.52,"350,412",372.27,4.73,
55,강원랜드,"25,000",100,+0.40%,500,"53,485","213,940",22.60,"934,532",-28.15,9.16,
56,대한항공,"30,450","1,000",+3.40%,"5,000","53,047","174,210",12.14,"6,503,013",-6.94,-22.09,
57,이마트,"180,500","2,500",-1.37%,"5,000","50,316","27,876",31.61,"733,936",9.01,2.76,
58,두산중공업,"13,400",150,+1.13%,"5,000","50,201","374,637",10.67,"2,076,541",-2.89,-14.73,
